Puppy Price,Barking Tendencies,Name,Health Issues,Hypoallergenic,Litter Size,Cat Friendly,Exercise Needs,Grooming,Shedding Level,Size,Child Friendly,Watchdog Ability,Dog Friendly,Stranger Friendly,Other Names,Intelligence,Trainability,Breed_definition,Adaptability,Lifespan,Apartment Friendly,Playfulness
Average $700 - $900 USD,2 stars,Skye Terrier,4 stars,No,4-6 puppies,2 stars,3 stars,3 stars,1 stars,Medium,3 stars,5 stars,2 stars,2 stars,None,4 stars,2 stars,Purebred,5 stars,12-14 years,5 stars,3 stars
Average $1400 - $1600 USD,2 stars,Dandie Dinmont Terrier,2 stars,Yes,3-6 puppies,3 stars,3 stars,3 stars,1 stars,Small,4 stars,3 stars,4 stars,3 stars,"Dandie, Hindlee Terrier",3 stars,2 stars,Purebred,5 stars,12-14 years,5 stars,3 stars
Average $1800 - $2000 USD,2 stars,Pharaoh Hound,1 stars,No,6-8 puppies,2 stars,3 stars,1 stars,1 stars,Medium,4 stars,3 stars,4 stars,4 stars,"Kelb Tal-Fenek (in Country Of Origin), Pharaoh",4 stars,4 stars,Purebred,5 stars,11-14 years,3 stars,3 stars
Average $500 - $700 USD,5 stars,Sussex Spaniel,3 stars,No,5-6 puppies,3 stars,4 stars,3 stars,3 stars,Medium,5 stars,3 stars,5 stars,3 stars,Sussex,2 stars,4 stars,Purebred,5 stars,12-15 years,3 stars,3 stars
Average $800 - $1200 USD,3 stars,Canaan Dog,3 stars,No,4-6 puppies,2 stars,3 stars,1 stars,3 stars,Medium,5 stars,3 stars,2 stars,3 stars,"Kalef K'Naani, Canaanite Dog",2 stars,1 stars,Purebred,5 stars,12-14 years,5 stars,3 stars
Average $600 - $800 USD,5 stars,Finnish Lapphund,2 stars,No,2-9 puppies,3 stars,5 stars,5 stars,5 stars,Medium,5 stars,4 stars,5 stars,2 stars,"Lapinkoira, Suomenlapinkoira",2 stars,5 stars,Purebred,5 stars,12-15 years,2 stars,4 stars
Average $1000 - $1200 USD,3 stars,Spanish Water Dog,3 stars,Yes,4-6 puppies,2 stars,4 stars,5 stars,1 stars,Medium,2 stars,4 stars,3 stars,2 stars,"Perro De Agua Español, SWD",2 stars,4 stars,Purebred,4 stars,10-14 years,2 stars,4 stars
Average $300 - $400 USD,2 stars,Harrier,1 stars,No,5-7 puppies,2 stars,5 stars,1 stars,3 stars,Medium,5 stars,2 stars,5 stars,4 stars,None,2 stars,4 stars,Purebred,3 stars,10-12 years,1 stars,3 stars
Average $1000 - $1200 USD,2 stars,American English Coonhound,3 stars,No,4-6 puppies,3 stars,4 stars,1 stars,3 stars,Large,4 stars,4 stars,2 stars,2 stars,"English Coonhound, Redtick Coonhound",2 stars,4 stars,Purebred,4 stars,11-12 years,2 stars,4 stars
Average $400 - $500 USD,4 stars,Griffon bleu de Gascogne,2 stars,No, ,3 stars,4 stars,2 stars,0 stars,Medium,4 stars,4 stars,3 stars,4 stars,None,2 stars,0 stars,Cross Breed,4 stars,12-15 years,2 stars,3 stars
Average $400 - $600 USD,2 stars,American Foxhound,1 stars,No,5-7 puppies,2 stars,5 stars,1 stars,1 stars,Large,4 stars,2 stars,4 stars,3 stars,Foxhound,4 stars,4 stars,Purebred,5 stars,10-12 years,1 stars,5 stars
Average $400 - $500 USD,3 stars,Hamilton Hound,3 stars,No,4-8 puppies,3 stars,3 stars,1 stars,1 stars,Medium,4 stars,3 stars,4 stars,3 stars,"Hamiltonstovare, Swedish Foxhound",3 stars,3 stars,Purebred,4 stars,11-13 years,4 stars,3 stars
Average $400 - $500 USD,3 stars,Large Munsterlander,2 stars,No,5-9 puppies,3 stars,5 stars,3 stars,3 stars,Large,5 stars,3 stars,5 stars,3 stars,"Grosser Munsterlander Vorstehhund, Vorstehhund",3 stars,5 stars,Purebred,5 stars,11-13 years,1 stars,5 stars
 ,,Kromfohrlander,,No,, ,, , ,Medium , , , ,, , , ,Purebred, , ,,
Average $2000 - $3000 USD,,Lagotto Romagnolo,,Yes,, ,, , ,Medium dog breeds, , , ,, , , ,Purebred, ,15 - 17 years,,
Average $400 - $600 USD,3 stars,Koolie,3 stars,No,4-6 puppies,3 stars,4 stars,2 stars,3 stars,Medium,4 stars,4 stars,3 stars,2 stars,"Australian Koolie, German Koolie, German Coolie",3 stars,3 stars,Purebred,4 stars,16-18 years,3 stars,3 stars
Average $600 - $800 USD,3 stars,Kooikerhondje,3 stars,No,5-7 puppies,3 stars,4 stars,2 stars,3 stars,Medium,4 stars,4 stars,3 stars,2 stars,"Kooiker Dog, Nederlandse Kooikerhondje, Small Dutch Waterfowl Dog",3 stars,1 stars,Purebred,5 stars,12-14 years,3 stars,5 stars
Average $300 - $500 USD,1 stars,Kishu,1 stars,No,"2-5 puppies, average 3",3 stars,5 stars,4 stars,3 stars,Medium,4 stars,4 stars,4 stars,3 stars,"Kishu, Kishu Inu",3 stars,1 stars,Purebred,4 stars,11-13 years,3 stars,3 stars
Average $300 - $400 USD,3 stars,Hokkaido Dog,3 stars,No,4-7 puppies,3 stars,3 stars,4 stars,3 stars,Medium,4 stars,4 stars,4 stars,3 stars,"Ainu dog, Dō-ken, Ainu-ken, Seta",3 stars,3 stars,Purebred,3 stars,11-13 years,1 stars,3 stars
Average $300 - $400 USD,1 stars,Korean Jindo Dog,2 stars,No,4-8 puppies,3 stars,3 stars,4 stars,3 stars,Medium,4 stars,4 stars,3 stars,3 stars,"Korean Jindo Dog, Chindo, Jindo, Jindo Gae, Jindogae, Jin Dog, Jindo Gu",3 stars,1 stars,Purebred,4 stars,12-15 years,4 stars,4 stars
Average $1000 - $1200 USD,3 stars,Karelian Bear Dog,1 stars,No,4-8 puppies,3 stars,5 stars,4 stars,3 stars,Medium,3 stars,4 stars,3 stars,3 stars,"KBD, Karjalankarhukoira, Karelsk Björnhund",3 stars,1 stars,Purebred,4 stars,10-12 years,2 stars,3 stars
 ,0 stars,Japanese Terrier,0 stars,No, ,0 stars,0 stars,0 stars,0 stars,Small,0 stars,0 stars,0 stars,0 stars,"Nippon Terrier, Nihon Teria, Nihon Terrier, Kobe Terrier, Mikado Terrier, Oyuki (Snowy) Terrier",0 stars,0 stars,Purebred,0 stars,12-15 years,0 stars,0 stars
Average $500 - $800 USD,5 stars,Japanese Spitz,3 stars,No,1-6 puppies,4 stars,3 stars,4 stars,3 stars,Small,5 stars,3 stars,4 stars,3 stars,None,3 stars,3 stars,Purebred,4 stars,12-15 years,5 stars,5 stars
 ,0 stars,Jamthund (Swedish Elkhound),0 stars,-, ,0 stars,0 stars,3 stars,0 stars,Medium,0 stars,0 stars,0 stars,0 stars,Swedish Elkhound,3 stars,0 stars,Purebred,0 stars,11-14 years,1 stars,0 stars
Average $1000 - $1200 USD,2 stars,Hovawart,3 stars,No,6-8 puppies,3 stars,3 stars,5 stars,3 stars,Medium,4 stars,5 stars,4 stars,2 stars,Hovie,3 stars,4 stars,Purebred,5 stars,10-14 years,1 stars,3 stars
Average $400 - $600 USD,2 stars,Norwegian Lundehund,3 stars,No,4-8 puppies,2 stars,5 stars,3 stars,1 stars,Small,4 stars,4 stars,3 stars,2 stars,"Norsk Lundehund, Norwegian Puffin Dog, Lundehund",2 stars,3 stars,Purebred,4 stars,10-12 years,1 stars,4 stars
Average $500 - $800 USD,0 stars,Greenland Dog,3 stars,No,4-6 puppies,4 stars,4 stars,1 stars,0 stars,Medium,4 stars,3 stars,4 stars,3 stars,"Gronlandshunden, Greenland Husky",2 stars,0 stars,Purebred,3 stars,12-14 years,2 stars,3 stars
Average $800 - $1200 USD,3 stars,English Foxhound,1 stars,No,5-7 puppies,2 stars,5 stars,1 stars,3 stars,Large,5 stars,3 stars,5 stars,3 stars,Foxhound,4 stars,4 stars,Purebred,4 stars,10-13 years,1 stars,3 stars
 ,,Lapponian Herder,,No,, ,, , ,Medium dog breeds, , , ,, , , ,Purebred, ,11 - 12 years,,
Average $1800 - $2200 USD,,Landseer,,No,, ,, , ,Giant dog breeds, , , ,, , , ,Purebred, ,9 - 11 years,,
 ,,New Guinea Singing Dog,,No,, ,, , ,Medium , , , ,, , , ,Purebred, ,12 - 16 years,,
Average $1100 - $1500 USD,,Lancashire Heeler,,No,, ,, , ,Small dog breeds, , , ,, , , ,Purebred, ,12 - 16 years,,
 ,,Small Munsterlander,,No,,,,,,Medium , Very friendly!,,,,,,,Purebred,,12 - 13 years,,
 ,,Mudi,,No,, ,, , ,Medium-sized , , , ,, , , ,Purebred, ,13 - 14 years,,
 ,,Plummer Terrier,,-,, ,, , ,Small , , , ,, , , ,Purebred, , ,,
 ,,Picardy Spaniel,,No,, ,, , ,Large , , , ,, , , ,Purebred, ,13 - 14 years,,
 ,,Portuguese Pointer,,No,, ,, , ,Medium , , , ,, , , ,Purebred, ,12 to 14 years,,
Average $400 - $600 USD,,Peruvian Inca Orchid,,Yes,,,,,,Medium ,, Best!,,, Best!,,,Purebred,,11 - 12 years,,
 ,,Perro de Presa Mallorquin,,-,, ,, , ,Medium , , , ,, , , ,Purebred, , ,,
 ,,Patterdale Terrier,,-,, ,, , ,Small , , , ,, , , ,Purebred, ,15 - 17 years,,
Average $1200 - $3000 USD,,Perro de Presa Canario,,No,,,,,,Large ,, Best!,,, Best!,,,Cross Breed,,9 - 11 years,,
 ,,Pakistani Mastiff,,-,, ,, , ,Giant , , , ,, , , ,Purebred, ,8 - 10 years,,
 ,,Northern Inuit Dog,,-,, ,, , ,Large , , , ,, , , ,Cross Breed, , ,,
Average $1800 - $2500 USD,,Olde English Bulldogge,,-,, ,, , ,Large , , , ,, , , ,Purebred, ,9 - 14 years,,
 ,,Toy Bulldog,,No,, ,, , ,Small , , , ,, , , ,Purebred, , ,,
 ,,McNab,,No,, ,, , ,Medium , , , ,, , , ,Purebred, , ,,
 ,,Norrbottenspets,,No,, ,, , ,Medium , , , ,, , , ,Purebred, ,12 - 15 years,,
Average $250 - $300 USD,,Catahoula Cur,,No,,,,,,Medium ,, Best!,,, Best!,,,Purebred,,10 - 14 years,,
 ,,Pumi,,No,, ,, , ,Medium , , , ,, , , ,Purebred, ,12 to 13 years,,
 ,,Pudelpointer,,No,, ,, , ,Large , , , ,, , , ,Cross Breed, , ,,
 ,,Prazsky Krysarik,,No,, ,, , ,Small , , , ,, , , ,Purebred, ,12 to 14 years,,
 ,,Rajapalyam dog,,-,, ,, , ,Large , , , ,, , , ,Purebred, , ,,
 ,,Russian Spaniel,,No,, ,, , ,small , , , ,, , , ,Cross Breed, ,Average 14 years,,
 ,,Russian Toy,,No,, ,, , ,Small , , , ,, , , ,Purebred, , ,,
 ,,Saarloos wolfdog,,-,, ,, , ,Large , , , ,, , , ,Cross Breed, , ,,
 ,,Sapsali,,-,, ,, , ,Medium , , , ,, , , ,Purebred, , ,,
 ,,Rafeiro do Alentejo,,No,, ,, , ,Large , , , ,, , , ,Purebred, ,12 to 14 years,,
,,African Wild Dog,,-,,,,,,Medium dog breeds,,,,,,,,Purebred,,～18 - 34 kg,,
 ,,South Russian Ovcharka,,No,, ,, , ,Large , , , ,, , , ,Purebred, ,12 -15 yrs,,
Average $600 - $1000 USD,,Smooth Collie,,No,, Very friendly!,, Very friendly!,,Large , Very friendly!, Beat!, Very friendly!,, Beat!,,,Purebred,,12 - 15 years,,
Average $800 - $1500 USD,,Silken Windhound,,No,,,,,,Medium ,,,,,,,,Purebred,,12 - 15 years,,
 ,,Seppala Siberian Sleddog,,-,, ,, , ,Medium , , , ,, , , ,Purebred, ,12 -15 yrs,,
 ,,Shiloh Shepherd dog,,-,, ,, , ,Giant , , , ,, , , ,Purebred, ,9 -14 yrs,,
 ,,Shikoku dog,,-,, ,, , ,Medium , , , ,, , , ,Purebred, ,11 -12 yrs,,
 ,,Smaland Hound,,No,, ,, , ,Medium , , , ,, , , ,Purebred, ,12 -15 yrs,,
 ,,Sarplaninac,,-,, ,, , ,Medium , , , ,, , , ,Purebred, ,11-13 yrs,,
 ,,Schapendoes,,No,, ,, , ,Medium , , , ,, , , ,Purebred, ,12 -15 yrs,,
 ,,Sloughi,,No,,,,,,Large ,, Beat!,,, Beat!,,,Purebred,,12 - 16 years,,
Average $800 - $1200 USD,,Alapaha Blue Blood Bulldog,,No,,,,,,Medium ,, Best!,,, Best!,,,Purebred,,12 -15 years,,
Average $550 - $800 USD,,Alano Espanol,,No,, ,, , ,Large , , , ,, , , ,Purebred, ,11 -14 years,,
Average $600 - $750 USD,,Akbash Dog,,No,,,,,,Large dog breeds,,,,,,,,Purebred,,10 -12.5 years,,
Average $300,,Aidi,,-,,,,,,Guardian Dog ( UKC ),,,,,,,,Purebred,,10-11 years,,
Average $2800 - $5000 USD,,Argentine Dogo,,No,,,,,,Large ,, Best!,,, Best!,,,Purebred,,10 -18 years,,
,,Africanis,,-,,,,,,Medium ,,,,,,,,Purebred,,～16 - 30 kg,,
Average $600 - $800 USD,,American White Shepherd,,-,, ,, , ,Medium Dog Breeds, , , ,, , , ,Purebred, ,12 -14 years,,
Average $700 - $800 USD,,Appenzeller Sennenhund,,No,,,,,,Medium Dog Breeds,, Best!,,, Best!,,,Purebred,,12 -14 years,,
Average $300 - $600 USD,,Austrian Pinscher,,No,, ,, ,,Medium ,,, ,,, , ,Purebred, ,12 -14 years,,
Average $300 - $600 USD,,Austrian Black and Tan Hound,,No,, ,, ,,Medium ,,, ,,, , ,Purebred, ,12 -14 years,,
Average $500 - $600 USD,,Australian Bulldog,,No,,,,,,Medium Dog Breeds,, Best!,,, Best!,,,Purebred,,8 -10 years,,
 ,,Ariegeois,,-,, ,, , ,Medium , , , ,, , , ,Purebred, , ,,
Average $500 - $600 USD,,Australian Stumpy Tail Cattle Dog,,No,,,,,,Medium sized & Medium ,, Best!,,, Best!, Ranking: 10,,Cross Breed,,12 -14 years,,
Average $500 - $600 USD,,Australian Kelpie,,No,,,,,,Medium ,, Best!,,, Best!,,,Purebred,,10 -14 years,,
 ,,Ariege Pointer,,No,, ,, , ,Large , , , ,, , , ,Purebred, ,10 -18 years,,
 ,,American Staghound,,-,, ,, , ,Large Dog Breeds, , , ,, , , ,Purebred, ,12 -14 years,,
Average $500 - $700 USD,,American Pit Bull Terrier,,No,,,,,,Medium-sized ,, Best!,,, Best!,,,Purebred,,12 -14 years,,
Average $1000 - $1500 USD,,American Mastiff,,-,, ,, , ,Large Dog Breeds, , , ,, , , ,Purebred, ,10 -12 years,,
Average $300 - $500 USD,,American Hairless Terrier,,No,, ,, , ,Small Dog Breeds, , , ,, , , ,Purebred, ,10 -12 years,,
Average $1000 - $1500 USD,,Alaskan Klee Kai,,No,, ,, , ,Medium ,, Best!, ,, Best!, ,,Purebred, ,13 -14 years,,
 ,,Bavarian Mountain Hound,,No,, ,, , ,Medium , , , ,, , , ,Purebred, ,10 - 12 years,,
 ,,Basset Fauve de Bretagne,,-,, ,, , ,Small , , , ,, , , ,Purebred, ,11 -14 years,,
 ,,Basset Bleu de Gascogne,,No,, ,, ,,Small ,,, ,,, , ,Purebred, ,12 -13 years,,
Average $500 - $1000 USD,,Barbet,,Yes,, ,, , ,Medium , , , ,, , , ,Purebred, ,13 -15 years,,
 ,,Azawakh,,No,,,,,,Large ,, Best!,,, Best!,,,Purebred,,10 -12 years,,
 ,,Bohemian Shepherd,,No,, ,, , ,Large , , , ,, , , ,Purebred, , ,,
 ,,Blue Picardy Spaniel,,No,, ,, , ,Large & big , , , ,, , , ,Purebred, ,~ 10 years,,
 ,,Bouvier de Ardennes,,-,, ,, , ,Medium , , , ,, , , ,Purebred, , ,,
 ,,Blue Lacy,,-,, ,, , ,Medium ,, , ,, , , ,Cross Breed, , ,,
Average $5550 - $600 USD,,Black Norwegian Elkhound,,No,,,,,,Small , Very friendly!, Best!,,, Best!, Ranking: 36,,Purebred,,12 - 15  years,,
Average $300 - $350 USD,,Black Mouth Cur,,No,, ,, , ,Large , , , ,, , , ,Purebred, ,10 - 16 years,,
 ,,Cão da Serra de Aires,,No,, ,, , ,Medium , , , ,, , , ,Purebred, ,~ 11-13 years,,
 ,,Briquet Griffon Vendeen,,No,, ,, , ,Medium Dog Breeds, , , ,, , , ,Purebred, ,~ 12  years,,
 ,,Bulgarian Shepherd Dog,,No,, ,, , ,Large Dog Breeds, , , ,, , , ,Purebred, , ,,
 ,,Bukovina Sheepdog,,No,, ,, , ,Large Dog Breeds, , Best!, ,, Best!, , ,Purebred, , ,,
 ,,Brazilian Terrier,,-,, ,, , ,Small Dog Breeds, , , ,, , , ,Cross Breed, ,12 - 14  years,,
Average $1000 - $1200 USD,,Braque du Bourbonnais,,No,, ,, , ,Medium & medium-sized , , , ,, , , ,Purebred, , ,,
 ,,Bracco Italiano,,-,, ,, , ,Large & big , , , ,, , , ,Purebred, ,12 - 13  years,,
Average $2000 - $2500 USD,,Berger Picard,,No,, ,, , ,Medium-sized , , , ,, , , ,Purebred, ,12 -13 years,,
Average $500 - $800 USD,,Belgian Shepherd Laekenois,,No,,,,,,Medium-sized ,, Best!,,, Best!,,,Purebred,,12 -14 years,,
 ,,Catahoula Bulldog,,No,, ,, , ,Medium , , , ,, , , ,Cross Breed, , ,,
 ,,Carolina Dog,,No,, ,, , ,Medium dog breeds, , , ,, , , ,Purebred, ,12 - 15  years,,
 ,,Carpathian Sheepdog,,No,, ,, , ,Large dog breeds, , , ,, , , ,Purebred, ,12 - 14  years,,
Average $1500 - $2000 USD,,Caucasian Ovtcharka,,No,,,,,,Giant dog breeds,, Best!,,, Best!,,,Purebred,,10 - 11  years,,
 ,,Catalan Sheepdog,,No,, ,, , ,Medium , , , ,, , , ,Purebred, ,12 - 14 years,,
 ,,Caravan Hound,,No,, ,, , ,Large dog breeds, , , ,, , , ,Purebred, , ,,
Average $500 - $550 USD,,Catahoula Leopard Dog,,No,,,,,,Medium dog breeds,, Best!,,, Best!,,,Purebred,,10 - 14  years,,
Average $400 - $600 USD,,Czechoslovakian Wolfdog,,No,, ,, , ,Large dog breeds, , , ,, , , ,Cross Breed, ,12 - 15 years,,
Average $1000 - $1200 USD,,Canadian Eskimo Dog,,No,, ,, , ,Large dog breeds, , , ,, , , ,Purebred, ,12 - 13  years,,
Average $1000 - $1200 USD,,Croatian Sheepdog,,-,, ,, , ,Medium dog breeds, , , ,, , , ,Purebred, , ,,
 ,,Central Asian Ovtcharka,,-,, ,, , ,Large dog breeds, , , ,, , , ,Purebred, , ,,
 ,,Dunker,,No,, ,, , ,Medium-sized dog breeds, , , ,, , , ,Cross Breed, ,10 - 11 years,,
 ,,Drentse Patrijshond,,No,, ,, , ,Medium dog breeds, , , ,, , , ,Purebred, , ,,
 ,,Dingo,,No,, ,, , ,Medium dog breeds, , , ,, , , ,Purebred, ,15 - 20 years,,
 ,,Drever,,No,, ,, , ,Small dog breeds, , , ,, , , ,Purebred, ,11 - 13 years,,
 ,,Deutsche Bracke,,No,, ,, , ,Medium dog breeds, , , ,, , , ,Purebred, ,10 - 12 years,,
Average $900 - $1100 USD,,Cockapoo,,No,,,,,,Small dog breeds,,,,,,,,Cross Breed,,14 - 16 years,,
 ,,Danish-Swedish Farmdog,,No,, ,, , ,Medium dog breeds, , , ,, , , ,Purebred, ,11 - 14 years,,
 ,,Cesky Fousek,,-,, ,, , ,Medium dog breeds, , , ,, , , ,Purebred, , ,,
 ,,Chart Polski,,No,,,,,,Large dog breeds,, Best!,,, Best!,,,Purebred,,10 - 12  years,,
Average $1000 - $1500 USD,,Dutch Shepherd Dog,,No,, ,, , ,Large dog breeds, , , ,, , , ,Purebred, ,12 - 14 years,,
 ,,Dutch Smoushond,,No,, ,, , ,Small dog breeds, , , ,, , , ,Purebred, , ,,
 ,,East Siberian Laika,,No,, ,, , ,Medium dog breeds, , , ,, , , ,Purebred, ,12 - 15 years,,
 ,,East-European Shepherd,,No,, ,, , ,Large dog breeds, , , ,, , , ,Cross Breed, , ,,
Average $1000 - $1300 USD,,Fila Brasileiro,,No,,,,,,Large dog breeds,, Best!,,, Best!,,,Purebred,, ,,
 ,,Finnish Hound,,No,, ,, , ,Medium dog breeds, , , ,, , , ,Purebred, ,11-12 years,,
 ,,Eurasier,,No,,,,,,Medium dog breeds,, Best!,,, Best!,,,Cross Breed,,11 - 13 years,,
 ,,English Shepherd,,No,, ,, , ,Medium dog breeds, , , ,, , , ,Purebred, , ,,
 ,,Grand Basset Griffon Vendeen,,No,,,,,,Medium dog breeds,,,,,,,,Purebred,,12 - 14 years,,
 ,,Pont-Audemer Spaniel,,No,, ,, , ,Medium-sized , , , ,, , , ,Purebred, , ,,
 ,,Goldendoodle,,No,,,,,,Small dog breeds,,,,,,,,Cross Breed,,10 - 15 years,,
 ,,Polish Hunting Dog,,No,,,,,,Medium dog breeds,, Best!,,, Best!,,,Purebred,,10 - 13 years,,
 ,,Tamaskan Dog,,No,, ,, , ,Large , , , ,, , , ,Purebred, ,Average 14 to 15 years.,,
Average $600 - 800 USD,,German Longhaired Pointer,,No,, ,, , ,Large dog breeds, , , ,, , , ,Purebred, ,10 -11 years,,
Average $400 - 500 USD,,Jagdterrier,,No,, ,, , ,Small dog breeds, , , ,, , , ,Purebred, ,9 -10 years,,
 ,,Spanish Mastiff,,-,, ,, , ,Giant , , , ,, , , ,Purebred, , ,,
 ,,French Spaniel,,No,, ,, , ,Medium dog breeds, , , ,, , , ,Purebred, , ,,
 ,,Swedish Lapphund,,No,, Very friendly!,, Very friendly!,,Medium-sized , Very friendly!, Best!, Very friendly!,, Best!,,,Purebred,,Average 12 to 13 years,,
 ,,Serbian Hound,,-,, ,, , ,Medium-sized , , , ,, , , ,Purebred, ,Average 12 years.,,
 ,,Francais Blanc et Noir,,No,, ,, , ,Large dog breeds, , , ,, , , ,Purebred, , ,,
Average $800 - $1500 USD,,Toy Manchester Terrier,,No,, ,, , ,Small , , , ,, , , ,Purebred, ,Average 15 to 16 years,,
Average $600 - $800 USD,,Tosa,,No,,,,,,Large ,, Best!,,, Best!,,,Cross Breed,,Average 10 to 12 years,,
 ,,Tornjak,,-,, ,, , ,Large , , , ,, , , ,Purebred, , ,,
Average $600 - $800 USD,,Thai Ridgeback,,No,,,,,,Medium-sized ,,,,,,,,Purebred,,Average 12 to 13 years,,
 ,,Thai Bangkaew Dog,,-,, ,, , ,Medium-sized , , , ,, , , ,Purebred, , ,,
Average $300 - $400 USD,,Alopekis,,No,,"
	",,"
	","
	",Small ,"
	","
	","
	",,"
	","
	","
	",Purebred,"
	",12 - 18 years or more,,
Average $400 - $700 USD,,Alaskan Husky,,No,,"
	",,"
	","
	",Large sized ,"
	","
	","
	",,"
	","
	","
	",Purebred,"
	",16 - 19 years,,
 ,,Wetterhoun,,No,, ,, , ,Medium sized , , , ,, , , ,Purebred, , ,,
Average $150 - $300 USD,,Texas Heeler,,No,,"
	",,"
	","
	",Medium-sized ,"
	","
	","
	",,"
	","
	","
	",Cross Breed,"
	",13 - 15 years,,
 ,,Volpino Italiano,,No,, ,, , ,Samll , , , ,, , , ,Purebred, , ,,
 ,,West Siberian Laika,,No,, ,, , ,Large size , , , ,, , , ,Purebred, , ,,
 ,,Transylvanian Hound,,No,, ,, , ,Medium-sized , , , ,, , , ,Purebred, ,10 to 12 years,,
Average $250 - $450 USD,,Bull Arab,,No,,"
	",,"
	","
	",Large-sized ,"
	","
	","
	",,"
	","
	","
	",Purebred,"
	",13 - 15 years,,
Average $250 - $400 USD,,Mountain Feist,,No,,"
	",,"
	","
	",Small ,"
	","
	","
	",,"
	","
	","
	",Cross Breed,"
	",13 - 18 years,,
Average $1600 - $1900 USD,,Bolognese dog,,Yes,,"
	",,"
	","
	",Small ,"
	","
	","
	",,"
	","
	","
	",Purebred,"
	",12 - 15 years,,
Average $1200 - $1450 USD,,Beaglier,,No,,"
	",,"
	","
	",Small & Medium-sized ,"
	","
	","
	",,"
	","
	","
	",Cross Breed,"
	",11 - 14 years,,
Average $200 - $300 USD,,Beagle-Harrier,,No,,"
	",,"
	","
	",Medium-sized ,"
	","
	","
	",,"
	","
	","
	",Purebred,"
	",12 - 13 years,,
Average $300 - $400 USD,,Basset Artesien Normand,,No,,"
	",,"
	","
	",Small ,"
	","
	","
	",,"
	","
	","
	",Purebred,"
	",12 - 15 years,,
Average $60 - $110 USD,,Chippiparai,,No,,"
	",,"
	","
	",Medium-sized ,"
	","
	","
	",,"
	","
	","
	",Purebred,"
	",12 - 15 years,,
Average $300 - $500 USD,,Andalusian Hound,,No,,"
	",,"
	","
	","Small, Medium, Large ","
	","
	","
	",,"
	","
	","
	",Purebred,"
	",12 - 14 years,,
Average $500 - $600 USD,,Cotonese,,No,,,,,,Small ,,,,,,,,Cross Breed,,13 - 15 years,,
Average 80-100 USD,,Schnekingese,,-,,"
	",,"
	","
	",Small ,"
	","
	","
	",,"
	","
	","
	",Cross Breed,"
	",12 - 15 years,,
Average $600 - $800 USD,,Kyi-Leo,,No,, ,, , ,Small Dog Breeds, , , ,, , , ,Cross Breed, ,12 - 15 years,,
Average $300 - $400 USD,,Chizer,,-,,"
	",,"
	","
	",Small ,"
	","
	","
	",,"
	","
	","
	",Cross Breed,"
	",12 - 15 years,,
Average $1600 - $2600 USD,,King Shepherd,,No,, ,, , ,Giant , , , ,, , , ,Cross Breed, ,10 - 12 years,,
Average $700 - $900 USD,,American Bulldog,,No,,"
	",,"
	","
	",Large ,"
	","
	","
	",,"
	","
	","
	",Purebred,"
	",11 - 14 years,,
Average $500 - $700 USD,,Cairmal,,-,,,,,,Small dog breeds,,,,,,,,Cross Breed,,12 - 15 years,,
Average $300 - $400 USD,,Taco Terrier,,-,,,,,,Small ,,,,,,,,Cross Breed,,13 - 15 years,,
Average $800 - $1000 USD,,Dorkie,,-,, ,, , ,Small Dog Breeds, , , ,, , , ,Cross Breed, ,13 - 15 years,,
Average $800 - $1000 USD,,Brazilian Dogo,,-,, ,, , ,Large Dog Breeds, , , ,, , , ,Cross Breed, ,12 - 13 years,,
Average $200 - $300 USD,,Dorgi,,-,, ,, , ,Small Dog Breeds, , , ,, , , ,Cross Breed, ,12 - 14 years,,
Average $300 - $400 USD,,Doxie-Pin,,-,, ,, , ,Medium Dog Breeds, , , ,, , , ,Cross Breed, ,12 - 14 years,,
Average $300 - $400 USD,,Doxiemo,,-,, ,, , ,Medium Dog Breeds, , , ,, , , ,Cross Breed, ,12 - 14 years,,
Average $400 - $500 USD,,Doxie-Chon,,-,, ,, , ,Small Dog Breeds, , , ,, , , ,Cross Breed, ,12 - 15 years,,
Average $1800 - $2000 USD,,Double Doodle,,-,, ,, , ,Medium to Large Dog Breeds, , , ,, , , ,Cross Breed, ,12 - 15 years,,
Average $300 - $400 USD,,Chorkie,,-,, ,, , ,Small Dog Breeds, , , ,, , , ,Cross Breed, ,11 - 14 years,,
Average $500 - $700 USD,,Cockalier,,No,, ,, , ,Medium Dog Breeds, , , ,, , , ,Cross Breed, ,12 - 14 years,,
Average $800 - $1000 USD,,Miniature American Shepherd,,-,, ,, , ,Medium-sized Dog Breeds, , , ,, , , ,Purebred, ,12 - 15 years,,
Average $600 - $800 USD,,Majestic Tree Hound,,No,, ,, , ,Giant Dog Breeds, , , ,, , , ,Cross Breed, ,12 - 14 years,,
Average $800 - $1000 USD,,Longhaired Whippet,,-,, ,, , ,Medium-sized Dog Breeds, , , ,, , , ,Purebred, ,12 - 15 years,,
Average $350 - $500 USD,,Doxle,,-,,,,,,Small dog breeds,,,,,,,,Cross Breed,,12 - 14 years,,
Average $400 - $600 USD,,Doxiepoo,,-,,,,,,Medium dog breeds,,,,,,,,Cross Breed,,12 - 15 years,,
